# Analysatorstellung in Grad, Spannung in Volt
-90	2.57
-45	1.35
-20	0.5
-10	0.42
0	0.37
10	0.44
20	0.63
45	1.44
70	2.20
85	2.39
90	2.46
100	1.39
120	1.94
145	1.41
150	0.89
170	0.43
180	0.73
200	0.61
220	1.25
240	1.96
255	2.30
270	2.41
